---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                aten::convolution         0.01%       7.023ms         1.08%     514.243ms       1.428ms           360                   [[4, 64, 80, 80], [32, 64, 1, 1], [32], [], [], [], [], [], []]  
               aten::_convolution         0.01%       3.920ms         1.08%     512.463ms       1.424ms           360   [[4, 64, 80, 80], [32, 64, 1, 1], [32], [], [], [], [], [], [], [], [], [], []]  
         aten::mkldnn_convolution         1.06%     503.990ms         1.07%     508.543ms       1.413ms           360                           [[4, 64, 80, 80], [32, 64, 1, 1], [32], [], [], [], []]  
                      aten::silu_         1.00%     477.045ms         1.00%     477.045ms     265.025us          1800                                                                 [[4, 32, 80, 80]]  
                     aten::conv2d        -0.01%   -5811.000us         0.97%     460.234ms       2.557ms           180                           [[4, 64, 80, 80], [64, 64, 3, 3], [64], [], [], [], []]  
                aten::convolution         0.02%       7.919ms         0.96%     459.110ms       2.551ms           180                   [[4, 64, 80, 80], [64, 64, 3, 3], [64], [], [], [], [], [], []]  
               aten::_convolution         0.00%       2.120ms         0.96%     458.126ms       2.545ms           180   [[4, 64, 80, 80], [64, 64, 3, 3], [64], [], [], [], [], [], [], [], [], [], []]  
         aten::mkldnn_convolution         0.95%     453.195ms         0.96%     456.006ms       2.533ms           180                           [[4, 64, 80, 80], [64, 64, 3, 3], [64], [], [], [], []]  
                     aten::conv2d        -0.00%   -1266.000us         0.95%     450.349ms       2.502ms           180                       [[4, 128, 40, 40], [255, 128, 1, 1], [255], [], [], [], []]  
                aten::convolution         0.01%       3.469ms         0.94%     449.250ms       2.496ms           180               [[4, 128, 40, 40], [255, 128, 1, 1], [255], [], [], [], [], [], []]  
               aten::_convolution         0.01%       2.520ms         0.94%     448.146ms       2.490ms           180  [[4, 128, 40, 40], [255, 128, 1, 1], [255], [], [], [], [], [], [], [], [], [],   
