---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                aten::convolution         0.00%     996.000us         1.28%        1.348s       7.491ms           180               [[4, 256, 40, 40], [256, 256, 3, 3], [256], [], [], [], [], [], []]  
               aten::_convolution         0.00%       2.092ms         1.27%        1.347s       7.486ms           180  [[4, 256, 40, 40], [256, 256, 3, 3], [256], [], [], [], [], [], [], [], [], [],   
         aten::mkldnn_convolution         1.27%        1.342s         1.27%        1.345s       7.474ms           180                       [[4, 256, 40, 40], [256, 256, 3, 3], [256], [], [], [], []]  
                     aten::conv2d         0.00%       2.701ms         1.19%        1.261s       3.502ms           360                         [[4, 128, 80, 80], [64, 128, 1, 1], [64], [], [], [], []]  
                aten::convolution         0.00%       2.138ms         1.19%        1.258s       3.494ms           360                 [[4, 128, 80, 80], [64, 128, 1, 1], [64], [], [], [], [], [], []]  
               aten::_convolution         0.00%       4.560ms         1.19%        1.256s       3.488ms           360  [[4, 128, 80, 80], [64, 128, 1, 1], [64], [], [], [], [], [], [], [], [], [], []  
         aten::mkldnn_convolution         1.18%        1.245s         1.18%        1.251s       3.476ms           360                         [[4, 128, 80, 80], [64, 128, 1, 1], [64], [], [], [], []]  
                     aten::conv2d         0.00%       1.015ms         1.09%        1.155s       6.415ms           180                     [[4, 1024, 20, 20], [512, 1024, 1, 1], [512], [], [], [], []]  
                     aten::conv2d        -0.01%   -6533.000us         1.09%        1.154s       3.206ms           360                       [[4, 512, 20, 20], [512, 512, 1, 1], [512], [], [], [], []]  
                aten::convolution         0.00%       1.091ms         1.09%        1.154s       6.409ms           180             [[4, 1024, 20, 20], [512, 1024, 1, 1], [512], [], [], [], [], [], []]  
                aten::convolution         0.01%      15.807ms         1.09%        1.153s       3.202ms           360               [[4, 512, 20, 20], [512, 512, 1, 1], [512], [], [], [], [], [], []]  
               aten::_convolution         0.00%       2.282ms         1.09%        1.153s       6.403ms           180  [[4, 1024, 20, 20], [512, 1024, 1, 1], [512], [], [], [], [], [], [], [], [], []  
               aten::_convolution         0.00%       3.437ms         1.09%        1.151s       3.197ms           360  [[4, 512, 20, 20], [512, 512, 1, 1], [512], [], [], [], [], [], [], [], [], [],   
         aten::mkldnn_convolution         1.09%        1.147s         1.09%        1.150s       6.391ms           180                     [[4, 1024, 20, 20], [512, 1024, 1, 1], [512], [], [], [], []]  
         aten::mkldnn_convolution         1.08%        1.143s         1.09%        1.148s       3.188ms           360                       [[4, 512, 20, 20], [512, 512, 1, 1], [512], [], [], [], []]  
                     aten::conv2d        -0.01%   -7725.000us         1.08%        1.145s       4.773ms           240                       [[4, 128, 30, 40], [128, 128, 3, 3], [128], [], [], [], []]  
                aten::convolution         0.02%      18.806ms         1.08%        1.144s       4.768ms           240               [[4, 128, 30, 40], [128, 128, 3, 3], [128], [], [], [], [], [], []]  
               aten::_convolution         0.00%       1.699ms         1.08%        1.143s       4.764ms           240  [[4, 128, 30, 40], [128, 128, 3, 3], [128], [], [], [], [], [], [], [], [], [],   
         aten::mkldnn_convolution         1.08%        1.139s         1.08%        1.142s       4.757ms           240                       [[4, 128, 30, 40], [128, 128, 3, 3], [128], [], [], [], []]  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 105.706s
